9/21/2003,4:03:21 AM,SceCli,Information,None,1704,N/A,S2,Security policy in the Group policy objects has been applied successfully.
9/21/2003,12:42:32 AM,Microsoft Scheduled Cache Content Download,Information,None,14155,N/A,S2,The Scheduled Content Download Service finished the job msn. 180 pages visited.
9/21/2003,12:41:05 AM,Microsoft Scheduled Cache Content Download,Information,None,14154,N/A,S2,The Scheduled Content Download Service started the job msn.
9/20/2003,12:02:42 PM,SceCli,Information,None,1704,N/A,S2,Security policy in the Group policy objects has been applied successfully.
9/20/2003,12:42:36 AM,Microsoft Scheduled Cache Content Download,Information,None,14155,N/A,S2,The Scheduled Content Download Service finished the job msn. 179 pages visited.
9/20/2003,12:41:05 AM,Microsoft Scheduled Cache Content Download,Information,None,14154,N/A,S2,The Scheduled Content Download Service started the job msn.
9/19/2003,9:44:44 PM,Microsoft ISA Server Control,Warning,Packet filter,14044,N/A,S2,"The packet filter is dropping Internet Protocol (IP) packets. For more information about this event, see ISA Server Help."
9/19/2003,8:02:52 PM,ESENT,Information,General ,101,N/A,S2,svchost (1160) The database engine stopped.
9/19/2003,8:02:02 PM,SceCli,Information,None,1704,N/A,S2,Security policy in the Group policy objects has been applied successfully.
9/19/2003,7:59:00 PM,LoadPerf,Error,None,3011,N/A,S2,Unloading the performance counter strings for service DHCPServer (DHCP Server) failed. The Error code is the first DWORD in Data section.
9/19/2003,7:58:56 PM,LoadPerf,Information,None,1002,N/A,S2,"Performance counters for the ISAPISearch (ISAPISearch) service are already in Performance Registry, no need to re-install again."
9/19/2003,7:58:55 PM,LoadPerf,Information,None,1002,N/A,S2,"Performance counters for the ContentFilter (ContentFilter) service are already in Performance Registry, no need to re-install again."
9/19/2003,7:58:55 PM,LoadPerf,Information,None,1002,N/A,S2,"Performance counters for the ContentIndex (ContentIndex) service are already in Performance Registry, no need to re-install again."
9/19/2003,7:58:55 PM,LoadPerf,Error,None,3011,N/A,S2,Unloading the performance counter strings for service ISAPISearch (ISAPISearch) failed. The Error code is the first DWORD in Data section.
9/19/2003,7:58:55 PM,LoadPerf,Error,None,3011,N/A,S2,Unloading the performance counter strings for service ContentFilter (ContentFilter) failed. The Error code is the first DWORD in Data section.
9/19/2003,7:58:55 PM,LoadPerf,Error,None,3011,N/A,S2,Unloading the performance counter strings for service ContentIndex (ContentIndex) failed. The Error code is the first DWORD in Data section.
9/19/2003,7:58:00 PM,LoadPerf,Error,None,3011,N/A,S2,Unloading the performance counter strings for service DNS (DNS Server) failed. The Error code is the first DWORD in Data section.
9/19/2003,7:57:48 PM,ESENT,Information,General ,100,N/A,S2,svchost (1160) The database engine 5.02.3790.0000 started.
